,num_bikeshares,fatalities_cyclists,fatalities_pedestrians,majorinjuries_cyclists,majorinjuries_pedestrians,minorinjuries_cyclists,minorinjuries_pedestrians,speeding,total_vehicles,dates
1,1213,,,,,,,,,2018-01-01
2,3792,,,,,,,,,2018-01-02
3,4748,,,,,,,,,2018-01-03
4,2368,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-01-04
5,2709,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-01-05
6,1489,,,,,,,,,2018-01-06
7,1753,,,,,,,,,2018-01-07
8,4080,,,,,,,,,2018-01-08
9,6124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2018-01-09
10,7101,,,,,,,,,2018-01-10
11,8210,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-01-11
12,5850,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-01-12
13,3378,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-01-13
14,2340,,,,,,,,,2018-01-14
15,3323,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-01-15
16,6836,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2018-01-16
17,4108,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2018-01-17
18,6197,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-01-18
19,7604,,,,,,,,,2018-01-19
20,8033,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,2018-01-20
21,6542,,,,,,,,,2018-01-21
22,9385,,,,,,,,,2018-01-22
23,8200,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2018-01-23
24,7728,,,,,,,,,2018-01-24
25,7096,,,,,,,,,2018-01-25
26,7294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-01-26
27,8707,,,,,,,,,2018-01-27
28,2867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-01-28
29,7265,,,,,,,,,2018-01-29
30,5863,,,,,,,,,2018-01-30
31,6387,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,2018-01-31
32,7732,,,,,,,,,2018-02-01
33,5199,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-02-02
34,3794,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-02-03
35,1428,,,,,,,,,2018-02-04
36,5895,,,,,,,,,2018-02-05
37,6856,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-02-06
38,4239,,,,,,,,,2018-02-07
39,6525,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2018-02-08
40,7013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2018-02-09
41,2097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-02-10
42,3336,,,,,,,,,2018-02-11
43,6857,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2018-02-12
44,7235,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2018-02-13
45,8040,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-02-14
46,9759,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2018-02-15
47,6922,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-02-16
48,3121,,,,,,,,,2018-02-17
49,6957,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2018-02-18
50,4581,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2018-02-19
51,10989,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-02-20
52,11806,,,,,,,,,2018-02-21
53,7294,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-02-22
54,6881,,,,,,,,,2018-02-23
55,5407,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2018-02-24
56,4554,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-02-25
57,8465,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-02-26
58,9686,,,,,,,,,2018-02-27
59,9710,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2018-02-28
60,7814,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2018-03-01
61,3167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-03-02
62,5714,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2018-03-03
63,6513,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2018-03-04
64,7699,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-03-05
65,7143,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-03-06
66,6613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-03-07
67,7777,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-03-08
68,7235,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-03-09
69,8295,,,,,,,,,2018-03-10
70,7744,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2018-03-11
71,7286,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-03-12
72,7444,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-03-13
73,6866,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2018-03-14
74,8491,,,,,,,,,2018-03-15
75,7333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2018-03-16
76,5645,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-03-17
77,9543,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2018-03-18
78,9559,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2018-03-19
79,2140,,,,,,,,,2018-03-20
80,1298,,,,,,,,,2018-03-21
81,6628,,,,,,,,,2018-03-22
82,8522,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-03-23
83,10146,,,,,,,,,2018-03-24
84,6847,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2018-03-25
85,9475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-03-26
86,7976,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-03-27
87,7416,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-03-28
88,13682,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-03-29
89,11113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-03-30
90,15874,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-03-31
91,10468,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2018-04-01
92,9402,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2018-04-02
93,9226,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2018-04-03
94,9909,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-04-04
95,11740,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2018-04-05
96,14930,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,2018-04-06
97,7581,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,2018-04-07
98,10159,,,,,,,,,2018-04-08
99,8046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-04-09
100,10508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2018-04-10
101,11163,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,2018-04-11
102,13086,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-04-12
103,16096,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2018-04-13
104,19113,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2018-04-14
105,4855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-04-15
106,6521,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2018-04-16
107,8999,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,2018-04-17
108,11395,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-04-18
109,8692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2018-04-19
110,11567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2018-04-20
111,14040,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2018-04-21
112,13002,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2018-04-22
113,11816,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-04-23
114,7077,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-04-24
115,9174,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2018-04-25
116,13941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2018-04-26
117,10326,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2018-04-27
118,14901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2018-04-28
119,8840,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-04-29
120,12334,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2018-04-30
121,14127,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2018-05-01
122,13932,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,2018-05-02
123,14163,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,2018-05-03
124,14120,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,2018-05-04
125,12252,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2018-05-05
126,11412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2018-05-06
127,13822,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2018-05-07
128,13857,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-05-08
129,14057,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,2018-05-09
130,13048,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-05-10
131,15029,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2018-05-11
132,14227,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-05-12
133,8256,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-05-13
134,10859,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-05-14
135,12454,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-05-15
136,6976,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,2018-05-16
137,4795,,,,,,,,,2018-05-17
138,4776,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,2018-05-18
139,6798,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2018-05-19
140,14080,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2018-05-20
141,14627,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-05-21
142,8627,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2018-05-22
143,14568,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,2018-05-23
144,14468,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-05-24
145,14825,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2018-05-25
146,12614,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-05-26
147,12974,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-05-27
148,12138,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-05-28
149,13341,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-05-29
150,12763,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2018-05-30
151,10130,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,2018-05-31
152,14017,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2018-06-01
153,11168,,,,,,,,,2018-06-02
154,2103,,,,,,,,,2018-06-03
155,14763,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-06-04
156,14145,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2018-06-05
157,14901,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2018-06-06
158,15706,0.0,0.0,0.0,0.0,8.0,0.0,0.0,10.0,2018-06-07
159,15558,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,2018-06-08
160,13709,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2018-06-09
161,11942,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-06-10
162,10811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2018-06-11
163,15818,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,2018-06-12
164,14727,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2018-06-13
165,15372,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,2018-06-14
166,15817,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2018-06-15
167,15185,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2018-06-16
168,12063,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2018-06-17
169,12555,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2018-06-18
170,12035,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2018-06-19
171,11961,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,2018-06-20
172,13896,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2018-06-21
173,6538,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2018-06-22
174,11190,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-06-23
175,12565,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2018-06-24
176,14147,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2018-06-25
177,14774,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,2018-06-26
178,12917,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2018-06-27
179,14836,0.0,0.0,0.0,0.0,5.0,1.0,0.0,10.0,2018-06-28
180,14037,0.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,2018-06-29
181,13082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-06-30
182,10461,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2018-07-01
183,11842,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2018-07-02
